Column1,Column2
content,sentiment
Love is a long sweet dream & marriage is an alarm clock..,happy
The world could be amazing when you are slightly strange.,happy
My secret talent is getting tired without doing anything. 😀,happy
"Khatarnaak Whatsapp Status Ever… Can\’t talk, wife around",happy
The new way of forgetting your past is deleting your chats 😛,happy
"204 countries, 805 Islands, 7 seas, 7+ Billion people and I’m still single..",happy
Available…. Prabhu ichhaa tak……!!!!!,happy
"Life is too short to be serious all the time. So if you can’t laugh at yourself, call me I will laugh at you 😀",happy
A really cool feature of the Nano they don’t tell you about is that even beggars ignore you at a traffic signal. Relaxing facility.,happy
"You love flowers, but you cut them. You love animals, but you eat them. You tell me you love me, so now I’m scared!",happy
"All person b very careful when u step out today n tomorrow. . They r looking out for bakra’s, Can’t afford to lose any of  u  😀",happy
"Men have feelings too. For example, we feel hungry.",happy
3 horrible things in life: 1) Slow Internet. 2) Slow Internet. 3) Slow Internet.,happy
My teacher today gave 45 minute speech about not wasting time.,happy
"Women loves shoes bcz no matter how much & whatever they eat, the shoe always fits :p",happy
Never laugh at your wife’s choices. ..you are one of them …,happy
"Thank God there is No Hindi version of WhatsApp otherwise ""Last Seen"" would be ""Antim Darshan"" .",happy
Hey there! I’m using my brain.,happy
I put my heart n soul into my work and lost my brain in d process,happy
"Faces u make on d toilet:
(o_o) , (>_<) , (0_0) , (^_^)",happy
"Getting married is a lot like getting into a tub of hot water. After you get used to it, it ain’t so hot.",happy
"Sorry about those texts I sent you last night, my phone was drunk.",happy
"When a bird hits your windshield, have you ever wondered if God is playing angry birds with you?",happy
Taking your ex back is like going to the junk yard and buying back your own crap.,happy
I don’t know why I keep a plastic bag at home full of plastic bags.,happy
I work out everyday I do 1 sit-up every morning when I wake up.,happy
One wise guy invented Whatsapp… and his wife added last seen feature 🙂 ,happy
I wish I had Google in my mind and antivirus in my heart.,happy
(-_-) x 1.3 Billion people = China,happy
You’re beautiful until your Photoshop 30 day trial has gone.,happy
"When you wait for a waiter in a restaurant, aren’t you a waiter?",happy
I love my six packs so much; I protect it with a layer of fat.,happy
WARNING!! I know karate …..and some other words!!!,happy
I Wish My Parents Were Like Google. They Should Understand Me Even Before I Complete.,happy
Watching PK… After PK..!!,happy
A man says a lot of things in summer he doesn’t mean in winter.,happy
I Wonder What Happen’s When Doctor’s Wife Eats An Apple A Day 😉,happy
"Study economics-when you’re unemployed, at least you’ll know why.",happy
"Hey there, I’m using 123whatsappstatus.com!",happy
Women- God’s version of Rubik cube.,happy
"Tum mujhe ‘Hmmm’ do, main tumhe ‘K’ dunga",happy
"SI unit of ignorance = ""online""",happy
"Hey there, I’m using my parents.",happy
"Don’t use bathroom in your dream, It’s a set-up.",happy
"There are 3 types of people in the world- vegetarian, non-vegetarian & Tuesday Saturday.",happy
"My laziness is like 8, when I lie down it becomes infinity 😀",happy
"Accept that some days you are the pigeon, and some days you are the statue.",happy
"WhatsApp free hai, main nahi. ",happy
Nobody is perfect. Even dettol kills only 99.9% of germs!,happy
"I’m on a sea-food diet, I see food, I eat it!",happy
Exams in the university are closer than they appear.,happy
Decided to burn lots of calories today so I set a fat kid on fire:-D,happy
I remember when my old Nokia phone said I had low battery it meant that I had 2 days to find a charger. :’),happy
What if girls can read minds… Every second a boy gets slapped…,happy
"I have come to the conclusion that Google must be female, as she has the answer to everything!",happy
"Girls are like police. Even when they get a hold of all the evidence, they still want to hear the truth from you.",happy
"Mirrors don’t lie. Lucky for you, they don’t laugh either.",happy
"If you love someone set them free. If they come back, set them on fire.. 😉",happy
When someone hates you for no reason. Give them a reason 😛,happy
Non-urgent calls only!! :p,happy
Sometimes I think to write LOL at the end of every answer in exams,happy
"I don’t care what people say or think about me, at least am attractive to mosquitoes 😛",happy
"I’m not sad for being single. Rather I’m thinking about her, who is single because of me.",happy
"Not always available, try your luck 😉",happy
I think Uruguay’s Luis Suarez is the man to bit the Apple’s logo,happy
The average millionaire goes bankrupt at least 3.5 times. I have gone 2 times. Pretty Close,happy
55% of people will yawn after reading the word “yawn.”,happy
Typing…,happy
Oh! Game over and you lost me 🙂,happy
You can do anything but not everything ..,happy
Three Mistakes Of My Life : WTF (Whatsapp Twitter Facebook),happy
Hey there WHATSAPP is using me !!,happy
"Waiting for ""Ache Din""",happy
"Dear math, I’m tired finding your ""X"" DUDE she is gone, Please Move on Bro. !",happy
NAMO (MODI) victory has proved that a man can succeed only when his mother is near and his wife is away…,happy
The word EXAMS make me sick without PAIN.,happy
"My koochi my poochi please get my Gucci, Even if you have to sell all your blood.",happy
"In today’s world u don’t have to b smart, only your smartphone should be smart.",happy
Mera status dekhkar aapko kya mila? BABAJI KA THULLU ?,happy
We have a history together ……and English and French also….. 🙂,happy
I am in a relationship with studies and it’s complicated.?,happy
"Some people just need a High-Five, on the face.",happy
